Time Stamp, Pressure, System State, Alarm State,,Second ,minutes ,hours,days,year,,,,,,,
1588809857500,14965500,d,1,,1588809857.5,26480164.2916667,441336.071527778,18389.0029803241,50.3808300830797,,,,,,,
1588809857750,14981014,d,1,,1588809857.75,26480164.2958333,441336.071597222,18389.0029832176,50.3808300910071,,,,,,,
1588809858000,14996171,d,1,,1588809858,26480164.3,441336.071666667,18389.0029861111,50.3808300989346,,,,,,,
1588809858250,15010640,d,1,,1588809858.25,26480164.3041667,441336.071736111,18389.0029890046,50.380830106862,,,,,,,
1588809858500,15026037,d,1,,1588809858.5,26480164.3083333,441336.071805556,18389.0029918982,50.3808301147894,,,,,,,
1588809858750,15041419,d,1,,1588809858.75,26480164.3125,441336.071875,18389.0029947917,50.3808301227169,,,,,,,
1588809859000,15057181,d,1,,1588809859,26480164.3166667,441336.071944444,18389.0029976852,50.3808301306443,,,,,,,
1588809859250,15070995,d,1,,1588809859.25,26480164.3208333,441336.072013889,18389.0030005787,50.3808301385718,,,,,,,
1588809859500,15086634,d,1,,1588809859.5,26480164.325,441336.072083333,18389.0030034722,50.3808301464992,,,,,,,
1588809859750,15102687,d,1,,1588809859.75,26480164.3291667,441336.072152778,18389.0030063657,50.3808301544267,,,,,,,
1588809860000,15117166,d,1,,1588809860,26480164.3333333,441336.072222222,18389.0030092593,50.3808301623541,,,,,,,
1588809860250,15132485,d,1,,1588809860.25,26480164.3375,441336.072291667,18389.0030121528,50.3808301702816,,,,,,,
1588809860500,15147335,d,1,,1588809860.5,26480164.3416667,441336.072361111,18389.0030150463,50.380830178209,,,,,,,
1588809860750,15163320,d,1,,1588809860.75,26480164.3458333,441336.072430556,18389.0030179398,50.3808301861365,,,,,,,
1588809861000,15178084,d,1,,1588809861,26480164.35,441336.0725,18389.0030208333,50.3808301940639,,,,,,,
1588809861250,15193275,d,1,,1588809861.25,26480164.3541667,441336.072569445,18389.0030237269,50.3808302019914,,,,,,,
1588809861500,15208596,d,1,,1588809861.5,26480164.3583333,441336.072638889,18389.0030266204,50.3808302099188,,,,,,,
1588809861750,15224855,d,1,,1588809861.75,26480164.3625,441336.072708333,18389.0030295139,50.3808302178463,,,,,,,
1588809862000,15240901,d,1,,1588809862,26480164.3666667,441336.072777778,18389.0030324074,50.3808302257737,,,,,,,
1588809862250,15256181,d,1,,1588809862.25,26480164.3708333,441336.072847222,18389.0030353009,50.3808302337012,,,,,,,
1588809862500,15272570,d,1,,1588809862.5,26480164.375,441336.072916667,18389.0030381944,50.3808302416286,,,,,,,
1588809862750,15288727,d,1,,1588809862.75,26480164.3791667,441336.072986111,18389.003041088,50.3808302495561,,,,,,,
1588809863000,15303282,d,1,,1588809863,26480164.3833333,441336.073055556,18389.0030439815,50.3808302574835,,,,,,,
1588809863250,15319449,d,1,,1588809863.25,26480164.3875,441336.073125,18389.003046875,50.380830265411,,,,,,,
1588809863500,15335697,d,1,,1588809863.5,26480164.3916667,441336.073194444,18389.0030497685,50.3808302733384,,,,,,,
1588809863750,15351868,d,1,,1588809863.75,26480164.3958333,441336.073263889,18389.003052662,50.3808302812659,,,,,,,
1588809864000,15366472,d,1,,1588809864,26480164.4,441336.073333333,18389.0030555556,50.3808302891933,,,,,,,
1588809864250,15382498,d,1,,1588809864.25,26480164.4041667,441336.073402778,18389.0030584491,50.3808302971207,,,,,,,
1588809864500,15397090,d,1,,1588809864.5,26480164.4083333,441336.073472222,18389.0030613426,50.3808303050482,,,,,,,
